id_text,provenience,height,width,thickness,features,scaled_features,cluster,distance,anomaly
236097,Isin (mod. Bahriyat) ?,42.0,39.0,21.0,"[42.0,39.0,21.0]","[-0.5658328460062689,-0.27217995137193896,-0.09467395183120894]",0,0.6239936838604394,0
236098,Isin (mod. Bahriyat) ?,39.0,34.0,16.0,"[39.0,34.0,16.0]","[-0.6914205744772175,-0.7137357526179888,-0.8972633123798365]",0,0.317651226840764,0
236099,Isin (mod. Bahriyat) ?,32.0,29.0,17.0,"[32.0,29.0,17.0]","[-0.9844586075760977,-1.1552915538640387,-0.736745440270111]",0,0.6296539203516435,0
236100,Isin (mod. Bahriyat) ?,37.0,30.0,15.0,"[37.0,30.0,15.0]","[-0.7751457267911833,-1.0669803936148288,-1.057781184489562]",0,0.6441413486325434,0
236101,Isin (mod. Bahriyat) ?,37.0,33.0,19.0,"[37.0,33.0,19.0]","[-0.7751457267911833,-0.8020469128671988,-0.41570969605066]",0,0.2677933271170049,0
236102,Isin (mod. Bahriyat) ?,39.0,34.0,16.0,"[39.0,34.0,16.0]","[-0.6914205744772175,-0.7137357526179888,-0.8972633123798365]",0,0.317651226840764,0
236103,Isin (mod. Bahriyat) ?,38.0,33.0,17.0,"[38.0,33.0,17.0]","[-0.7332831506342005,-0.8020469128671988,-0.736745440270111]",0,0.23221373163133174,0
236104,Isin (mod. Bahriyat) ?,39.0,33.0,18.0,"[39.0,33.0,18.0]","[-0.6914205744772175,-0.8020469128671988,-0.5762275681603855]",0,0.16644638300267026,0
236105,Isin (mod. Bahriyat) ?,37.0,32.0,17.0,"[37.0,32.0,17.0]","[-0.7751457267911833,-0.8903580731164088,-0.736745440270111]",0,0.31421968620814106,0
236106,Isin (mod. Bahriyat) ?,39.0,33.0,18.0,"[39.0,33.0,18.0]","[-0.6914205744772175,-0.8020469128671988,-0.5762275681603855]",0,0.16644638300267026,0
236107,Isin (mod. Bahriyat) ?,39.0,38.0,17.0,"[39.0,38.0,17.0]","[-0.6914205744772175,-0.36049111162114894,-0.736745440270111]",0,0.31876978978398857,0
236108,Isin (mod. Bahriyat) ?,41.0,35.0,17.0,"[41.0,35.0,17.0]","[-0.6076954221632518,-0.6254245923687788,-0.736745440270111]",0,0.153479513135608,0
236109,Isin (mod. Bahriyat) ?,39.0,36.0,20.0,"[39.0,36.0,20.0]","[-0.6914205744772175,-0.5371134321195689,-0.2551918239409345]",0,0.3533403767677339,0
236110,Isin (mod. Bahriyat) ?,45.0,36.0,18.0,"[45.0,36.0,18.0]","[-0.44024511753532025,-0.5371134321195689,-0.5762275681603855]",0,0.23619144959683844,0
236111,Isin (mod. Bahriyat) ?,44.0,37.0,18.0,"[44.0,37.0,18.0]","[-0.4821076936923031,-0.44880227187035887,-0.5762275681603855]",0,0.2568441480305094,0
236112,Isin (mod. Bahriyat) ?,47.0,40.0,18.0,"[47.0,40.0,18.0]","[-0.3565199652213545,-0.18386879112272897,-0.5762275681603855]",0,0.5444394775307126,0
236113,Isin (mod. Bahriyat) ?,38.0,34.0,17.0,"[38.0,34.0,17.0]","[-0.7332831506342005,-0.7137357526179888,-0.736745440270111]",0,0.18242445785215636,0
236114,Isin (mod. Bahriyat) ?,37.0,33.0,15.0,"[37.0,33.0,15.0]","[-0.7751457267911833,-0.8020469128671988,-1.057781184489562]",0,0.5093114388239547,0
236115,Isin (mod. Bahriyat) ?,39.0,35.0,17.0,"[39.0,35.0,17.0]","[-0.6914205744772175,-0.6254245923687788,-0.736745440270111]",0,0.1522113118112569,0
236116,Isin (mod. Bahriyat) ?,47.0,40.0,19.0,"[47.0,40.0,19.0]","[-0.3565199652213545,-0.18386879112272897,-0.41570969605066]",0,0.5716564419095485,0
236117,Isin (mod. Bahriyat) ?,37.0,35.0,20.0,"[37.0,35.0,20.0]","[-0.7751457267911833,-0.6254245923687788,-0.2551918239409345]",0,0.3576739253042728,0
236118,Isin (mod. Bahriyat) ?,43.0,37.0,17.0,"[43.0,37.0,17.0]","[-0.523970269849286,-0.44880227187035887,-0.736745440270111]",0,0.27324527863442194,0
236119,Isin (mod. Bahriyat) ?,47.0,37.0,16.0,"[47.0,37.0,16.0]","[-0.3565199652213545,-0.44880227187035887,-0.8972633123798365]",0,0.4671451110712996,0
236120,Isin (mod. Bahriyat) ?,40.0,32.0,16.0,"[40.0,32.0,16.0]","[-0.6495579983202346,-0.8903580731164088,-0.8972633123798365]",0,0.3952599854596673,0
236121,Isin (mod. Bahriyat) ?,47.0,42.0,17.0,"[47.0,42.0,17.0]","[-0.3565199652213545,-0.007246470624309028,-0.736745440270111]",0,0.7143152934176009,0
236122,Isin (mod. Bahriyat) ?,41.0,33.0,18.0,"[41.0,33.0,18.0]","[-0.6076954221632518,-0.8020469128671988,-0.5762275681603855]",0,0.16760690893788116,0
236123,Isin (mod. Bahriyat) ?,37.0,33.0,16.0,"[37.0,33.0,16.0]","[-0.7751457267911833,-0.8020469128671988,-0.8972633123798365]",0,0.36766691583536787,0
236124,Isin (mod. Bahriyat) ?,40.0,36.0,18.0,"[40.0,36.0,18.0]","[-0.6495579983202346,-0.5371134321195689,-0.5762275681603855]",0,0.10490626781835823,0
236125,Isin (mod. Bahriyat) ?,30.0,30.0,15.0,"[30.0,30.0,15.0]","[-1.0681837598900634,-1.0669803936148288,-1.057781184489562]",0,0.7569917149110282,0
236126,Isin (mod. Bahriyat) ?,61.0,45.0,19.0,"[61.0,45.0,19.0]","[0.22955610097640589,0.2576870101233209,-0.41570969605066]",1,0.8638062743835255,0
236127,Isin (mod. Bahriyat) ?,36.0,34.0,15.0,"[36.0,34.0,15.0]","[-0.8170083029481662,-0.7137357526179888,-1.057781184489562]",0,0.5008264126465442,0
236128,Isin (mod. Bahriyat) ?,42.0,37.0,15.0,"[42.0,37.0,15.0]","[-0.5658328460062689,-0.44880227187035887,-1.057781184489562]",0,0.5124579534262198,0
236129,Isin (mod. Bahriyat) ?,33.0,33.0,15.0,"[33.0,33.0,15.0]","[-0.9425960314191149,-0.8020469128671988,-1.057781184489562]",0,0.5733426532177903,0
236130,Isin (mod. Bahriyat) ?,32.0,28.0,16.0,"[32.0,28.0,16.0]","[-0.9844586075760977,-1.2436027141132486,-0.8972633123798365]",0,0.7535147046866918,0
236131,Isin (mod. Bahriyat) ?,38.0,36.0,17.0,"[38.0,36.0,17.0]","[-0.7332831506342005,-0.5371134321195689,-0.736745440270111]",0,0.19693344129180562,0
236132,Isin (mod. Bahriyat) ?,40.0,38.0,17.0,"[40.0,38.0,17.0]","[-0.6495579983202346,-0.36049111162114894,-0.736745440270111]",0,0.31631557399367627,0
236133,Isin (mod. Bahriyat) ?,45.0,40.0,19.0,"[45.0,40.0,19.0]","[-0.44024511753532025,-0.18386879112272897,-0.41570969605066]",0,0.5332391614347775,0
236134,Isin (mod. Bahriyat) ?,42.0,34.0,16.0,"[42.0,34.0,16.0]","[-0.5658328460062689,-0.7137357526179888,-0.8972633123798365]",0,0.32671278521738245,0
236135,Isin (mod. Bahriyat) ?,43.0,38.0,16.0,"[43.0,38.0,16.0]","[-0.523970269849286,-0.36049111162114894,-0.8972633123798365]",0,0.43485232245070066,0
236136,Isin (mod. Bahriyat) ?,45.0,38.0,19.0,"[45.0,38.0,19.0]","[-0.44024511753532025,-0.36049111162114894,-0.41570969605066]",0,0.3925023941561357,0
236137,Isin (mod. Bahriyat) ?,51.0,42.0,20.0,"[51.0,42.0,20.0]","[-0.18906966059342295,-0.007246470624309028,-0.2551918239409345]",0,0.8534226048193259,0
236138,Isin (mod. Bahriyat) ?,46.0,36.0,18.0,"[46.0,36.0,18.0]","[-0.39838254137833734,-0.5371134321195689,-0.5762275681603855]",0,0.2743309456198239,0
236139,Isin (mod. Bahriyat) ?,49.0,40.0,18.0,"[49.0,40.0,18.0]","[-0.2727948129073887,-0.18386879112272897,-0.5762275681603855]",0,0.5940380722166965,0
236140,Isin (mod. Bahriyat) ?,58.0,42.0,20.0,"[58.0,42.0,20.0]","[0.10396837250545725,-0.007246470624309028,-0.2551918239409345]",1,0.8424887516922471,0
236141,Isin (mod. Bahriyat) ?,35.0,38.0,15.0,"[35.0,38.0,15.0]","[-0.858870879105149,-0.36049111162114894,-1.057781184489562]",0,0.5829276263324911,0
236142,Isin (mod. Bahriyat) ?,36.0,29.0,16.0,"[36.0,29.0,16.0]","[-0.8170083029481662,-1.1552915538640387,-0.8972633123798365]",0,0.6211342906780134,0
